time_s,tau_ms,amplitude_mV,baseline_mV,r_squared
7.040000000000000424e-02,1.499999999999999822e+01,1.837219228454600062e+00,-5.126500000500005427e+01,5.480315391487745602e-01
8.900000000000000966e-02,1.336155952706039329e+01,1.900489145499447474e+00,-5.186943271113980813e+01,6.244773165537527149e-01
2.098000000000000143e-01,1.499999999723409161e+01,1.270791413852195628e+00,-5.023410220647075164e+01,3.557918094639698214e-01
2.182000000000000051e-01,4.709533748163446276e+00,8.851031508285943650e-01,-5.063307232070336283e+01,6.124079586596582470e-01
4.187500000000000111e-01,1.499999999999999822e+01,1.746110128839630793e+00,-4.855677583476894199e+01,5.270177160203103339e-01
4.547500000000000431e-01,1.499999999999999645e+01,1.660485819261343865e+00,-4.966151231567336310e+01,4.818580763937454492e-01
5.302000000000000046e-01,1.774262519530622528e+00,3.460628877835900119e-01,-4.943320316911602674e+01,3.165121726943216363e-01
6.380000000000000115e-01,1.920327955069047077e+00,5.796674223542706006e-01,-4.839915932216117511e+01,5.724937937616769723e-01
7.725500000000000700e-01,8.788830230323615211e+00,7.502542136563818964e-01,-4.862554157894341955e+01,3.429877182813328984e-01
8.360500000000000709e-01,2.682569096736289627e+00,6.938455700081752608e-01,-4.684884452661685827e+01,5.935773112228555082e-01
9.724000000000000421e-01,7.401011540458637405e+00,6.393808745563600571e-01,-5.496437951350247886e+01,3.134364541836202056e-01
1.104500000000000037e+00,5.941517133839498754e+00,5.914749608151458338e-01,-5.109767984117198125e+01,3.613763501917320875e-01
1.202550000000000008e+00,1.499999999999999822e+01,1.720824164672039913e+00,-5.322395734171131210e+01,5.143735856881946900e-01
1.236800000000000122e+00,1.499999999999999822e+01,1.100731679155082743e+00,-5.332379931465656142e+01,3.093243970307255619e-01
1.420749999999999957e+00,1.499999999999945111e+01,1.275420446444975209e+00,-5.041230069977546435e+01,3.936335155847376921e-01
1.438050000000000050e+00,5.733765911156780248e+00,7.838147309447681677e-01,-5.041148665174420529e+01,5.046414557232906661e-01
1.447050000000000169e+00,3.640238752404810096e+00,5.963393593284325167e-01,-5.052665612063765366e+01,4.871163437240118022e-01
1.455400000000000027e+00,4.237288367069931283e+00,4.702684584792811706e-01,-5.091491106873445460e+01,3.400024012752819180e-01
1.637600000000000167e+00,1.499999999999999822e+01,1.125534716503493904e+00,-5.111653358739410891e+01,3.114582907932105238e-01
1.902150000000000007e+00,4.686289918884493311e+00,4.818080789584937018e-01,-4.819207895276826292e+01,3.157060768796525752e-01
1.969300000000000050e+00,1.499999999999999822e+01,2.588142331729913703e+00,-4.642888543306953864e+01,7.248032509173621962e-01
1.988650000000000029e+00,3.448044606988540206e+00,6.226695222163612931e-01,-4.624751588307343297e+01,5.442809887377160205e-01
2.037100000000000133e+00,1.499999999999999822e+01,1.392103319136971828e+00,-5.760123256838055283e+01,4.114080364732760620e-01
2.538499999999999979e+00,8.995996891463059697e+00,1.067251342053999297e+00,-5.000224094169371369e+01,4.990040575563083891e-01
2.601500000000000146e+00,8.436245826859728680e+00,9.289288465330868272e-01,-5.151499578626125952e+01,4.481404404915573236e-01
2.636700000000000266e+00,1.325637684021221574e+01,1.087565900954354570e+00,-5.206919981007887799e+01,3.591751264201337168e-01
2.878900000000000237e+00,1.499999999999999822e+01,1.300957685395386143e+00,-5.070230344939560752e+01,3.799769248049127413e-01
2.887050000000000338e+00,1.499999999999995737e+01,1.399420984839528259e+00,-5.119450206591824326e+01,4.187821508832725304e-01
3.403550000000000075e+00,1.499999999999999645e+01,1.196630190575295405e+00,-5.204837128813615976e+01,3.266141112706322236e-01
3.453200000000000269e+00,1.499999999998687450e+01,1.795638147319457589e+00,-5.378695328068636172e+01,5.417323452009403795e-01
3.528500000000000192e+00,3.537636029693420170e+00,6.207885520761498022e-01,-5.232201102850846297e+01,4.987346760179661720e-01
3.579450000000000021e+00,1.206351753172481445e+01,1.152324568277133476e+00,-5.311511594048661777e+01,4.297325705808252572e-01
3.587650000000000006e+00,4.431550440485142239e+00,4.730881321979424903e-01,-5.279926105682082493e+01,3.327513163456733425e-01
3.737500000000000266e+00,4.904159717180682776e+00,5.885556425882670917e-01,-5.216991237458390174e+01,4.144475648587264693e-01
3.928250000000000242e+00,1.499999999999964650e+01,1.888220127951051985e+00,-4.858474995766361815e+01,5.075470392952559084e-01
3.944100000000000161e+00,6.581179999619489074e+00,9.040612390418042432e-01,-4.916538296512434414e+01,4.853686584962604300e-01
4.003049999999999997e+00,3.527907718942030257e+00,4.354386608904935452e-01,-4.986455125364413021e+01,3.267199381192936736e-01
4.136449999999999960e+00,1.499999999992090238e+01,1.509331933739846976e+00,-4.941160099302172171e+01,4.733657856913866535e-01
4.154500000000000526e+00,8.406032893548459839e+00,7.896043798636450672e-01,-4.997345454280201693e+01,3.704501816639937939e-01
4.251999999999999780e+00,1.463452698428815779e+01,1.264059106300279955e+00,-4.966541345187619783e+01,3.659742984587656123e-01
4.286450000000000315e+00,1.499999999999999822e+01,1.878621393106268078e+00,-5.135672489023298937e+01,5.557345597198697362e-01
4.478850000000000442e+00,1.499999999999999822e+01,1.379345041846190556e+00,-5.030398780588296859e+01,3.805115776313340303e-01
4.504350000000000520e+00,4.052064878026383710e+00,6.258728037965206603e-01,-5.124189271430154236e+01,4.904264791169480331e-01
4.665449999999999875e+00,1.163292870377431676e+01,1.045121456698868245e+00,-4.984884064909270762e+01,3.922477958216125105e-01
4.750250000000000306e+00,1.499999999989086952e+01,1.323568538637215575e+00,-4.933240376508838665e+01,3.586977604333646541e-01
4.886099999999999888e+00,1.499999999999991829e+01,1.154495754859223178e+00,-4.805435027269879100e+01,3.107321287702163870e-01
4.902849999999999930e+00,1.499999999998602007e+01,2.092199368023234918e+00,-5.048000099251072470e+01,6.065834836030937760e-01
4.931600000000000428e+00,9.272512360925190933e+00,1.066782080122076648e+00,-5.069832602887707651e+01,4.966687494763565303e-01
4.959950000000000081e+00,7.695041676846337886e+00,6.667345471345941244e-01,-5.088588649868938774e+01,3.079492278743797273e-01
